"","cutoff","F0","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15"
"1",2,0.960244,0.028474,0.007566,0.00223,0.000874,0.000366,0.000148,0.000054,0.000025,0.000009,0.000004,0.000005,0.000001,0,0,0
"2",3,0.909917,0.057686,0.019257,0.007111,0.00322,0.001458,0.000724,0.000329,0.000174,0.00006,0.000037,0.000019,0.000006,0.000001,0.000001,0
"3",4,0.820205,0.100393,0.040901,0.018275,0.00918,0.005125,0.002743,0.001454,0.000883,0.000444,0.000208,0.000117,0.000054,0.000014,0.000003,0.000001
"4",5,0.68649,0.144963,0.072993,0.038358,0.022647,0.013932,0.008421,0.005062,0.003052,0.001837,0.001098,0.000596,0.000324,0.000151,0.000058,0.000018
"5",6,0.519542,0.174633,0.105481,0.066002,0.044018,0.030465,0.020865,0.014147,0.009405,0.006192,0.003963,0.002496,0.001514,0.000785,0.000356,0.000136
"6",7,0.345931,0.173214,0.125758,0.09159,0.068616,0.052919,0.040452,0.030774,0.022842,0.016619,0.011762,0.008231,0.00546,0.003295,0.001832,0.000705
"7",8,0.198463,0.140206,0.12073,0.1017,0.086579,0.073608,0.062844,0.05242,0.042981,0.034974,0.027566,0.021148,0.015672,0.010901,0.006712,0.003496
"8",9,0.095926,0.092073,0.093127,0.090289,0.086121,0.082119,0.077026,0.071116,0.064804,0.057612,0.050122,0.042919,0.035077,0.02857,0.020062,0.013037
"9",10,0.03857,0.048187,0.057568,0.063641,0.068339,0.072273,0.075232,0.076311,0.076358,0.074686,0.07241,0.068298,0.063778,0.057521,0.047821,0.039007
"10",11,0.012724,0.020158,0.027974,0.035749,0.043345,0.050005,0.05755,0.064522,0.071242,0.077578,0.08188,0.086303,0.089768,0.093458,0.091211,0.096533
"11",12,0.003319,0.006818,0.010912,0.015783,0.021255,0.027529,0.034742,0.043395,0.052431,0.062684,0.073787,0.086724,0.101545,0.12072,0.139583,0.198773
"12",13,0.000677,0.001767,0.003496,0.005358,0.008256,0.011884,0.016582,0.022735,0.030526,0.040871,0.052857,0.068717,0.091599,0.126003,0.17305,0.345622
"13",14,0.000114,0.000354,0.000792,0.001501,0.002453,0.003978,0.006288,0.009339,0.01413,0.021098,0.030455,0.04374,0.065807,0.105633,0.175052,0.519266
"14",15,0.000017,0.000054,0.000142,0.000297,0.000628,0.001045,0.001864,0.00313,0.005025,0.00878,0.013719,0.022774,0.038366,0.072523,0.144478,0.687158
"15",16,0.000004,0.00001,0.00002,0.00005,0.000103,0.000235,0.000404,0.000808,0.001484,0.002802,0.005098,0.009527,0.01811,0.040956,0.10005,0.820339
"16",17,0,0.000001,0.000001,0.000007,0.000026,0.000031,0.000085,0.000175,0.000338,0.000681,0.00152,0.003218,0.00714,0.019399,0.058007,0.909371
"17",18,0,0,0,0,0.000002,0.000006,0.000012,0.00003,0.00006,0.00015,0.000357,0.000864,0.00232,0.007624,0.028342,0.960233
"18",19,0,0,0,0,0.000001,0,0.000001,0.000003,0.000012,0.000022,0.000083,0.000198,0.000626,0.002504,0.011764,0.984786
